v_init,gear,accel,time
1.4503146581310729,5.503,0.625,0.1
1.5128146581310729,5.503,0.625,0.1
1.5753146581310729,5.503,0.625,0.1
1.6378146581310729,5.503,0.625,0.1
1.7003146581310729,5.503,0.625,0.1
1.7628146581310729,5.503,0.625,0.1
1.8253146581310729,5.503,0.625,0.1
1.8878146581310729,5.503,0.625,0.1
1.9503146581310729,5.503,0.625,0.1
2.012814658131073,5.503,0.625,0.1
2.075314658131073,5.503,0.625,0.1
2.137814658131073,5.503,0.625,0.1
2.200314658131073,5.503,0.625,0.1
2.262814658131073,5.503,0.625,0.1
2.325314658131073,5.503,0.625,0.1
2.387814658131073,5.503,0.625,0.1
2.450314658131073,5.503,0.625,0.1
2.512814658131073,5.503,0.625,0.1
2.575314658131073,5.503,0.625,0.1
2.637814658131073,5.503,0.625,0.1
2.700314658131073,5.503,0.625,0.1
2.762814658131073,5.503,0.625,0.1
2.825314658131073,5.503,0.625,0.1
2.887814658131073,5.503,0.625,0.1
2.950314658131073,5.503,0.625,0.1
3.012814658131073,5.503,0.625,0.1
3.075314658131073,5.503,0.625,0.1
3.137814658131073,5.503,0.625,0.1
3.200314658131073,5.503,0.625,0.1
3.262814658131073,5.503,0.625,0.1
3.325314658131073,5.503,0.625,0.1
3.387814658131073,5.503,0.625,0.1
3.450314658131073,5.503,0.625,0.1
3.512814658131073,5.503,0.625,0.1
3.575314658131073,5.503,0.625,0.1
3.637814658131073,5.503,0.625,0.1
3.700314658131073,5.503,0.625,0.1
3.762814658131073,5.503,0.625,0.1
3.825314658131073,5.503,0.625,0.1
3.887814658131073,5.503,0.625,0.1
3.950314658131073,5.503,0.625,0.1
4.012814658131073,5.503,0.625,0.1
4.075314658131073,5.503,0.625,0.1
4.137814658131073,5.503,0.625,0.1
4.200314658131073,5.503,0.625,0.1
4.262814658131073,5.503,0.625,0.1
4.325314658131073,5.503,0.625,0.1
4.387814658131073,3.333,0.625,0.1
4.450314658131073,3.333,0.625,0.1
4.512814658131073,3.333,0.625,0.1
4.575314658131073,3.333,0.625,0.1
4.637814658131073,3.333,0.625,0.1
4.700314658131073,3.333,0.625,0.1
4.762814658131073,3.333,0.625,0.1
4.825314658131073,3.333,0.625,0.1
4.887814658131073,3.333,0.625,0.1
4.950314658131073,3.333,0.625,0.1
5.012814658131073,3.333,0.625,0.1
5.075314658131073,3.333,0.625,0.1
5.137814658131073,3.333,0.625,0.1
5.200314658131073,3.333,0.625,0.1
5.262814658131073,3.333,0.625,0.1
5.325314658131073,3.333,0.625,0.1
5.387814658131073,3.333,0.625,0.1
5.450314658131073,3.333,0.625,0.1
5.512814658131073,3.333,0.625,0.1
5.575314658131073,3.333,0.625,0.1
5.637814658131073,3.333,0.625,0.1
5.700314658131073,3.333,0.625,0.1
5.762814658131073,3.333,0.625,0.1
5.825314658131073,3.333,0.625,0.1
5.887814658131073,3.333,0.625,0.1
5.950314658131073,3.333,0.625,0.1
6.012814658131073,3.333,0.625,0.1
6.075314658131073,3.333,0.625,0.1
6.137814658131073,3.333,0.625,0.1
6.200314658131073,3.333,0.625,0.1
6.262814658131073,3.333,0.625,0.1
6.325314658131073,2.315,0.625,0.1
6.387814658131073,2.315,0.625,0.1
6.450314658131073,2.315,0.625,0.1
6.512814658131073,2.315,0.625,0.1
6.575314658131073,2.315,0.625,0.1
6.637814658131073,2.315,0.625,0.1
6.700314658131073,2.315,0.625,0.1
6.762814658131073,2.315,0.625,0.1
6.825314658131073,2.315,0.625,0.1
6.887814658131073,2.315,0.625,0.1
6.950314658131073,2.315,0.625,0.1
7.012814658131073,2.315,0.625,0.1
7.075314658131073,2.315,0.625,0.1
7.137814658131073,2.315,0.625,0.1
7.200314658131073,2.315,0.625,0.1
7.262814658131073,2.315,0.625,0.1
7.325314658131073,2.315,0.625,0.1
7.387814658131073,2.315,0.625,0.1
7.450314658131073,2.315,0.625,0.1
7.512814658131073,2.315,0.625,0.1
7.575314658131073,2.315,0.625,0.1
7.637814658131073,2.315,0.625,0.1
7.700314658131073,2.315,0.625,0.1
7.762814658131073,2.315,0.625,0.1
7.825314658131073,2.315,0.625,0.1
7.887814658131073,2.315,0.625,0.1
7.950314658131073,2.315,0.625,0.1
8.012814658131074,2.315,0.625,0.1
8.075314658131074,2.315,0.625,0.1
8.137814658131074,2.315,0.625,0.1
8.200314658131074,2.315,0.625,0.1
8.262814658131074,2.315,0.625,0.1
8.325314658131074,2.315,0.625,0.1
8.387814658131074,2.315,0.625,0.1
8.450314658131074,2.315,0.625,0.1
8.512814658131074,2.315,0.625,0.1
8.575314658131074,2.315,0.625,0.1
8.637814658131074,2.315,0.625,0.1
8.700314658131074,2.315,0.625,0.1
8.762814658131074,1.661,0.625,0.1
8.825314658131074,1.661,0.625,0.1
8.887814658131074,1.661,0.625,0.1
8.950314658131074,1.661,0.625,0.1
9.012814658131074,1.661,0.625,0.1
9.075314658131074,1.661,0.625,0.1
9.137814658131074,1.661,0.625,0.1
9.200314658131074,1.661,0.625,0.1
9.262814658131074,1.661,0.625,0.1
9.325314658131074,1.661,0.625,0.1
9.387814658131074,1.661,0.625,0.1
9.450314658131074,1.661,0.625,0.1
9.512814658131074,1.661,0.625,0.1
9.575314658131074,1.661,0.625,0.1
9.637814658131074,1.661,0.625,0.1
9.700314658131074,1.661,0.625,0.1
9.762814658131074,1.661,0.625,0.1
9.825314658131074,1.661,0.625,0.1
9.887814658131074,1.661,0.625,0.1
9.950314658131074,1.661,0.625,0.1
10.012814658131074,1.661,0.625,0.1
10.075314658131074,1.661,0.625,0.1
10.137814658131074,1.661,0.625,0.1
10.200314658131074,1.661,0.625,0.1
10.262814658131074,1.661,0.625,0.1
10.325314658131074,1.661,0.625,0.1
10.387814658131074,1.661,0.625,0.1
10.450314658131074,1.661,0.625,0.1
10.512814658131074,1.661,0.625,0.1
10.575314658131074,1.661,0.625,0.1
10.637814658131074,1.661,0.625,0.1
